+-----------------------------------+------------+----+
|                term               |   docID    | df |
|        ('storm', 'system')        |   ['1']    | 1  |
|       ('storm', 'tropical')       |   ['1']    | 1  |
|         ('storms', 'are')         |   ['1']    | 1  |
|         ('storms', 'such')        |   ['1']    | 1  |
|         ('strength', 'a')         |   ['1']    | 1  |
|       ('strengthened', 'to')      |   ['2']    | 1  |
|       ('strong', 'rotating')      |   ['1']    | 1  |
|        ('strong', 'winds')        |   ['1']    | 1  |
|     ('strongest', 'hurricane')    |   ['2']    | 1  |
|           ('such', 'as')          |   ['1']    | 1  |
|        ('surface', 'which')       |   ['1']    | 1  |
|         ('surge', 'from')         |   ['2']    | 1  |
|    ('system', 'characterized')    |   ['1']    | 1  |
|        ('systems', 'which')       |   ['1']    | 1  |
|    ('temperature', 'contrasts')   |   ['1']    | 1  |
|         ('that', 'occurs')        |   ['1']    | 1  |
|           ('that', 'of')          |   ['1']    | 1  |
|        ('that', 'produce')        |   ['1']    | 1  |
|          ('the', '2003')          |   ['2']    | 1  |
|         ('the', 'african')        |   ['1']    | 1  |
|        ('the', 'atlantic')        |   ['1']    | 1  |
|          ('the', 'axis')          |   ['1']    | 1  |
|        ('the', 'benguela')        |   ['1']    | 1  |
|          ('the', 'cape')          |   ['2']    | 1  |
|      ('the', 'conservation')      |   ['1']    | 1  |
|        ('the', 'coriolis')        |   ['1']    | 1  |
|        ('the', 'costliest')       |   ['2']    | 1  |
|         ('the', 'damage')         |   ['2']    | 1  |
|         ('the', 'deaths')         |   ['2']    | 1  |
|         ('the', 'earths')         |   ['1']    | 1  |
|         ('the', 'effects')        |   ['2']    | 1  |
|         ('the', 'equator')        |   ['1']    | 1  |
|       ('the', 'evaporation')      |   ['1']    | 1  |
|      ('the', 'geographical')      |   ['1']    | 1  |
|         ('the', 'hampton')        |   ['2']    | 1  |
|        ('the', 'hurricane')       |   ['2']    | 1  |
|          ('the', 'most')          |   ['2']    | 1  |
|          ('the', 'next')          |   ['2']    | 1  |
|          ('the', 'ninth')         |   ['2']    | 1  |
|        ('the', 'northern')        |   ['1']    | 1  |
|      ('the', 'northwestern')      |   ['1']    | 1  |
|          ('the', 'ocean')         |   ['1']    | 1  |
|        ('the', 'opposite')        |   ['1']    | 1  |
|          ('the', 'outer')         |   ['2']    | 1  |
|         ('the', 'season')         |   ['2']    | 1  |
|         ('the', 'shapes')         |   ['1']    | 1  |
|         ('the', 'shores')         |   ['2']    | 1  |
|          ('the', 'south')         |   ['1']    | 1  |
|        ('the', 'southern')        |   ['1']    | 1  |
|          ('the', 'storm')         |   ['2']    | 1  |
|         ('the', 'strong')         |   ['1']    | 1  |
|        ('the', 'tropical')        |   ['2']    | 1  |
|          ('the', 'worst')         |   ['2']    | 1  |
|        ('their', 'central')       |   ['1']    | 1  |
|        ('their', 'energy')        |   ['1']    | 1  |
|         ('their', 'winds')        |   ['1']    | 1  |
|        ('these', 'systems')       |   ['1']    | 1  |
|         ('they', 'derive')        |   ['1']    | 1  |
|         ('they', 'rarely')        |   ['1']    | 1  |
|         ('this', 'energy')        |   ['1']    | 1  |
|        ('thousands', 'of')        |   ['2']    | 1  |
|         ('through', 'the')        |   ['1']    | 1  |
|     ('thunderstorms', 'that')     |   ['1']    | 1  |
|            ('to', 'by')           |   ['1']    | 1  |
|          ('to', 'cover')          |   ['1']    | 1  |
|           ('to', 'form')          |   ['2']    | 1  |
|          ('to', 'reach')          |   ['2']    | 1  |
|        ('to', 'saturation')       |   ['1']    | 1  |
|          ('to', 'simply')         |   ['1']    | 1  |
|           ('to', 'the')           |   ['1']    | 1  |
|          ('to', 'their')          |   ['1']    | 1  |
|         ('toward', 'the')         |   ['1']    | 1  |
|      ('tropical', 'atlantic')     |   ['2']    | 1  |
|      ('tropical', 'cyclone')      | ['1', '2'] | 2  |
|      ('tropical', 'cyclones')     |   ['1']    | 1  |
|     ('tropical', 'depression')    |   ['1']    | 1  |
|        ('tropical', 'seas')       |   ['1']    | 1  |
|       ('tropical', 'storm')       |   ['1']    | 1  |
|        ('tropical', 'wave')       |   ['2']    | 1  |
|       ('typhoon', 'occurs')       |   ['1']    | 1  |
|      ('typhoon', 'tropical')      |   ['1']    | 1  |
|      ('typically', 'between')     |   ['1']    | 1  |
|       ('typically', 'form')       |   ['1']    | 1  |
|   ('ultimately', 'recondenses')   |   ['1']    | 1  |
|     ('unofficially', 'known')     |   ['2']    | 1  |
|        ('verde', 'islands')       |   ['2']    | 1  |
|      ('virginia', 'electric')     |   ['2']    | 1  |
|     ('virginia', 'especially')    |   ['2']    | 1  |
|        ('virginia', 'for')        |   ['2']    | 1  |
|      ('virginia', 'reported')     |   ['2']    | 1  |
|         ('warm', 'water')         |   ['1']    | 1  |
|         ('warm', 'waters')        |   ['2']    | 1  |
|        ('was', 'disrupted')       |   ['2']    | 1  |
|        ('was', 'greatest')        |   ['2']    | 1  |
|           ('was', 'the')          |   ['2']    | 1  |
|      ('was', 'unofficially')      |   ['2']    | 1  |
|         ('washed', 'out')         |   ['2']    | 1  |
|        ('washington', 'dc')       |   ['2']    | 1  |
|         ('water', 'from')         |   ['1']    | 1  |
|          ('water', 'out')         |   ['1']    | 1  |
|         ('water', 'they')         |   ['1']    | 1  |
|          ('waters', 'it')         |   ['2']    | 1  |
|           ('wave', 'on')          |   ['2']    | 1  |
|        ('weakened', 'and')        |   ['2']    | 1  |
|        ('weakened', 'over')       |   ['2']    | 1  |
|          ('weeks', 'and')         |   ['2']    | 1  |
|        ('were', 'damaged')        |   ['2']    | 1  |
|        ('were', 'without')        |   ['2']    | 1  |
|          ('west', 'and')          |   ['2']    | 1  |
|    ('western', 'pennsylvania')    |   ['2']    | 1  |
|          ('what', 'was')          |   ['2']    | 1  |
|         ('when', 'moist')         |   ['1']    | 1  |
|       ('where', 'thousands')      |   ['2']    | 1  |
|          ('which', 'are')         |   ['1']    | 1  |
|         ('which', 'form')         |   ['1']    | 1  |
|      ('which', 'ultimately')      |   ['1']    | 1  |
|          ('while', 'in')          |   ['1']    | 1  |
|       ('whirling', 'round')       |   ['1']    | 1  |
|         ('wind', 'shear')         |   ['2']    | 1  |
|          ('winds', 'and')         |   ['1']    | 1  |
|        ('winds', 'blowing')       |   ['1']    | 1  |
|        ('winds', 'moving')        |   ['1']    | 1  |
|          ('winds', 'of')          | ['1', '2'] | 2  |
|      ('windstorms', 'which')      |   ['1']    | 1  |
|      ('with', 'excessively')      |   ['1']    | 1  |
|         ('with', 'their')         |   ['1']    | 1  |
|         ('with', 'winds')         |   ['2']    | 1  |
|          ('within', 'an')         |   ['2']    | 1  |
|          ('within', 'of')         |   ['1']    | 1  |
|     ('without', 'electricity')    |   ['2']    | 1  |
|          ('worst', 'of')          |   ['2']    | 1  |
+-----------------------------------+------------+----+
