+---------------------------------------------+------------+----+
|                     term                    |   docID    | df |
|      ('ocean', 'comparable', 'storms')      |   ['1']    | 1  |
|           ('ocean', 'it', 'moved')          |   ['2']    | 1  |
|        ('ocean', 'surface', 'which')        |   ['1']    | 1  |
|           ('ocean', 'while', 'in')          |   ['1']    | 1  |
|             ('of', '105', 'mph')            |   ['2']    | 1  |
|             ('of', '165', 'mph')            |   ['2']    | 1  |
|           ('of', 'a', 'tropical')           |   ['1']    | 1  |
|        ('of', 'angular', 'momentum')        |   ['1']    | 1  |
|         ('of', 'circulation', 'is')         |   ['1']    | 1  |
|           ('of', 'dollars', 'in')           |   ['2']    | 1  |
|         ('of', 'hatteras', 'island')        |   ['2']    | 1  |
|            ('of', 'homes', 'by')            |   ['2']    | 1  |
|         ('of', 'isabel', 'occurred')        |   ['2']    | 1  |
|           ('of', 'light', 'wind')           |   ['2']    | 1  |
|      ('of', 'mid-latitude', 'cyclonic')     |   ['1']    | 1  |
|         ('of', 'north', 'carolina')         |   ['2']    | 1  |
|         ('of', 'relatively', 'warm')        |   ['1']    | 1  |
|            ('of', 'rivers', 'as')           |   ['2']    | 1  |
|           ('of', 'rotation', 'as')          |   ['1']    | 1  |
|           ('of', 'the', 'african')          |   ['1']    | 1  |
|        ('of', 'the', 'conservation')        |   ['1']    | 1  |
|           ('of', 'the', 'damage')           |   ['2']    | 1  |
|           ('of', 'the', 'deaths')           |   ['2']    | 1  |
|           ('of', 'the', 'effects')          |   ['2']    | 1  |
|           ('of', 'the', 'equator')          |   ['1']    | 1  |
|           ('of', 'the', 'season')           |   ['2']    | 1  |
|          ('of', 'these', 'systems')         |   ['1']    | 1  |
|       ('of', 'thunderstorms', 'that')       |   ['1']    | 1  |
|          ('of', 'virginia', 'for')          |   ['2']    | 1  |
|           ('of', 'water', 'from')           |   ['1']    | 1  |
|          ('on', 'its', 'location')          |   ['1']    | 1  |
|          ('on', 'september', '11')          |   ['2']    | 1  |
